Elapsed time,192.168.46.11 Disks I/O unit=kb:writebytes:fs=/,192.168.46.12 Disks I/O unit=kb:writebytes:fs=/,192.168.46.13 Disks I/O unit=kb:writebytes:fs=/
10:12:36.0,0.0,0.0,4.0
10:12:37.0,9936.0,0.0,10000.0
10:12:38.0,0.0,9972.0,36.0
10:12:39.0,0.0,0.0,0.0
10:12:40.0,0.0,8.0,6052.0
10:12:41.0,0.0,36.0,8.0
10:12:42.0,28.0,0.0,28188.0
10:12:43.0,0.0,0.0,0.0
10:12:44.0,0.0,0.0,0.0
10:12:45.0,0.0,0.0,0.0
10:12:46.0,0.0,0.0,0.0
10:12:47.0,3080.0,12.0,3012.0
10:12:48.0,0.0,3008.0,0.0
10:12:49.0,0.0,0.0,0.0
10:12:50.0,0.0,40.0,0.0
10:12:51.0,0.0,24.0,120.0
10:12:52.0,0.0,0.0,0.0
10:12:53.0,20.0,0.0,0.0
10:12:54.0,0.0,0.0,0.0
10:12:55.0,0.0,24.0,20.0
10:12:56.0,0.0,0.0,80.0
10:12:57.0,8.0,0.0,0.0
10:12:58.0,0.0,0.0,36.0
10:12:59.0,0.0,0.0,0.0
10:13:00.0,0.0,72.0,0.0
10:13:01.0,0.0,12.0,0.0
10:13:02.0,36.0,0.0,0.0
10:13:03.0,28.0,0.0,0.0
10:13:04.0,0.0,0.0,0.0
10:13:05.0,0.0,168.0,0.0
10:13:06.0,0.0,0.0,0.0
10:13:07.0,6084.0,0.0,6020.0
10:13:08.0,0.0,6020.0,28.0
10:13:09.0,0.0,0.0,0.0
10:13:10.0,4444.0,0.0,4308.0
10:13:11.0,0.0,4448.0,40.0
10:13:12.0,0.0,0.0,0.0
10:13:13.0,16.0,0.0,0.0
10:13:14.0,0.0,0.0,0.0
10:13:15.0,0.0,0.0,48.0
10:13:16.0,0.0,16.0,9096.0
10:13:17.0,0.0,0.0,0.0
10:13:18.0,16.0,0.0,44.0
10:13:19.0,0.0,0.0,0.0
10:13:20.0,14448.0,8.0,5336.0
10:13:21.0,0.0,14520.0,136.0
10:13:22.0,12.0,0.0,0.0
10:13:23.0,36.0,120.0,0.0
10:13:24.0,0.0,0.0,0.0
10:13:25.0,0.0,0.0,0.0
10:13:26.0,0.0,0.0,96.0
10:13:27.0,19488.0,0.0,0.0
10:13:28.0,104.0,36.0,20.0
10:13:29.0,0.0,0.0,0.0
10:13:30.0,14420.0,8.0,14220.0
10:13:31.0,8568.0,14392.0,0.0
10:13:32.0,0.0,0.0,0.0
10:13:33.0,4220.0,0.0,4332.0
10:13:34.0,0.0,4036.0,0.0
10:13:35.0,0.0,68.0,0.0
10:13:36.0,0.0,0.0,72.0
10:13:37.0,120.0,19572.0,0.0
10:13:38.0,16.0,0.0,36.0
10:13:39.0,0.0,124.0,0.0
10:13:40.0,0.0,184.0,0.0
10:13:41.0,0.0,20.0,8.0
10:13:42.0,72.0,0.0,19560.0
10:13:43.0,13776.0,0.0,13884.0
10:13:44.0,0.0,13724.0,0.0
10:13:45.0,0.0,0.0,0.0
10:13:46.0,0.0,8564.0,0.0
10:13:47.0,0.0,0.0,0.0
10:13:48.0,0.0,0.0,28.0
10:13:49.0,16.0,0.0,8536.0
10:13:50.0,0.0,0.0,0.0
10:13:51.0,0.0,56.0,8.0
10:13:52.0,0.0,0.0,0.0
10:13:53.0,7432.0,0.0,7448.0
10:13:54.0,0.0,7448.0,0.0
10:13:55.0,0.0,4.0,0.0
10:13:56.0,0.0,0.0,116.0
10:13:57.0,8.0,0.0,0.0
10:13:58.0,0.0,0.0,0.0
10:13:59.0,0.0,0.0,0.0
10:14:00.0,0.0,12.0,0.0
10:14:01.0,0.0,12.0,0.0
10:14:02.0,88.0,0.0,0.0
10:14:03.0,24.0,0.0,0.0
10:14:04.0,0.0,0.0,0.0
10:14:05.0,0.0,44.0,0.0
10:14:06.0,0.0,0.0,0.0
10:14:07.0,0.0,0.0,0.0
10:14:08.0,0.0,0.0,0.0
10:14:09.0,0.0,0.0,0.0
10:14:10.0,0.0,92.0,0.0
10:14:11.0,0.0,44.0,36.0
10:14:12.0,64.0,0.0,0.0
10:14:13.0,24.0,0.0,0.0
10:14:14.0,0.0,0.0,0.0
10:14:15.0,0.0,96.0,0.0
10:14:16.0,0.0,0.0,84.0
10:14:17.0,0.0,44.0,0.0
10:14:18.0,0.0,0.0,20.0
