Elapsed time,192.168.46.11 Memory unit=mb:used,192.168.46.12 Memory unit=mb:used,192.168.46.13 Memory unit=mb:used
11:22:25.0,9660.933,11510.343,10142.824
11:22:26.0,9660.812,11510.343,10142.703
11:22:27.0,9660.812,11510.343,10142.703
11:22:28.0,9660.812,11510.343,10142.703
11:22:29.0,9660.812,11510.222,10142.703
11:22:30.0,9660.691,11510.222,10142.703
11:22:31.0,9660.691,11510.222,10142.703
11:22:32.0,9660.691,11510.222,10142.703
11:22:33.0,9660.691,11510.222,10142.582
11:22:34.0,9660.691,11510.222,10142.582
11:22:35.0,9661.105,11510.25,10144.074
11:22:36.0,9665.707,11512.894,10145.5
11:22:37.0,9668.167,11515.917,10145.957
11:22:38.0,9670.406,11519.238,10148.132
11:22:39.0,9672.761,11522.55,10149.656
11:22:40.0,9676.074,11525.054,10150.398
11:22:41.0,9678.671,11527.746,10152.164
11:22:42.0,9682.343,11531.507,10153.246
11:22:43.0,9685.339,11534.132,10154.359
11:22:44.0,9689.078,11537.8,10156.472
11:22:45.0,9692.902,11541.156,10156.625
11:22:46.0,9695.48,11543.335,10158.738
11:22:47.0,9697.816,11545.73,10159.875
11:22:48.0,9700.175,11547.742,10160.781
11:22:49.0,9702.429,11550.355,10161.671
11:22:50.0,9704.226,11552.535,10163.597
11:22:51.0,9706.48,11555.718,10164.589
11:22:52.0,9708.085,11557.71,10166.66
11:22:53.0,9710.437,11559.41,10167.214
11:22:54.0,9711.546,11560.738,10168.515
11:22:55.0,9713.097,11562.71,10170.003
11:22:56.0,9714.343,11563.742,10171.679
11:22:57.0,9715.89,11565.015,10173.417
11:22:58.0,9717.402,11566.46,10174.839
11:22:59.0,9718.484,11568.109,10176.324
11:23:00.0,9719.257,11569.226,10177.007
11:23:01.0,9721.488,11570.332,10178.613
11:23:02.0,9722.757,11571.949,10180.132
11:23:03.0,9724.023,11573.5,10181.335
11:23:04.0,9726.007,11574.539,10182.914
11:23:05.0,9726.687,11576.289,10184.488
11:23:06.0,9728.109,11577.144,10186.031
11:23:07.0,9729.687,11578.597,10187.39
11:23:08.0,9731.179,11580.207,10188.972
11:23:09.0,9732.261,11581.566,10191.148
11:23:10.0,9733.246,11582.875,10191.535
11:23:11.0,9736.136,11585.136,10193.812
11:23:12.0,9738.332,11590.593,10195.468
11:23:13.0,9741.125,11594.566,10198.433
11:23:14.0,9746.386,11599.824,10200.093
11:23:15.0,9752.636,11605.585,10202.804
11:23:16.0,9759.757,11609.339,10204.957
11:23:17.0,9764.105,11612.261,10206.453
11:23:18.0,9770.414,11615.16,10209.023
11:23:19.0,9773.527,11619.046,10211.441
11:23:20.0,9774.574,11623.707,10222.914
11:23:21.0,9774.875,11623.761,10231.121
11:23:22.0,9774.906,11623.851,10231.121
11:23:23.0,9774.906,11623.882,10231.121
11:23:24.0,9774.906,11623.882,10231.121
11:23:25.0,9774.937,11623.882,10231.121
11:23:26.0,9774.792,11623.882,10231.273
11:23:27.0,9774.792,11623.882,10231.273
11:23:28.0,9774.792,11623.882,10231.128
11:23:29.0,9774.792,11623.738,10231.128
11:23:30.0,9774.792,11623.738,10231.128
11:23:31.0,9774.671,11623.738,10231.128
11:23:32.0,9774.671,11623.738,10231.128
11:23:33.0,9774.671,11623.496,10231.007
11:23:34.0,9774.671,11623.496,10231.007
11:23:35.0,9774.55,11623.496,10231.007
11:23:36.0,9774.55,11623.496,10231.007
11:23:37.0,9774.55,11623.375,10231.007
11:23:38.0,9774.429,11623.375,10231.007
11:23:39.0,9774.429,11623.375,10231.007
11:23:40.0,9774.429,11623.375,10231.007
11:23:41.0,9774.429,11623.375,10231.007
11:23:42.0,9774.429,11623.375,10230.765
11:23:43.0,9774.429,11623.375,10230.765
11:23:44.0,9774.429,11623.375,10230.886
11:23:45.0,9774.429,11623.285,10230.886
11:23:46.0,9774.429,11623.285,10230.765
11:23:47.0,9774.429,11623.285,10230.765
11:23:48.0,9774.429,11623.285,10230.765
11:23:49.0,9774.429,11623.285,10230.765
